state_raw,anc_4plus,facility_delivery,full_vaccination,infant_mortality,u5_mortality,women_secondary_edu,u5_mortality_ci_low,u5_mortality_ci_high
..Abia,79.1,86.0,38.0,49.0,69.0,91.5,45,93
..Adamawa,56.4,41.6,38.4,75.0,144.0,47.0,119,169
..Akwa Ibom,65.7,38.6,50.8,56.0,80.0,85.0,53,107
..Anambra,84.9,83.2,48.7,50.0,72.0,89.5,45,99
..Bauchi,46.6,31.1,51.4,77.0,125.0,28.2,96,154
..Bayelsa,48.6,46.1,63.4,56.0,73.0,86.2,53,94
..Benue,49.1,59.0,25.4,34.0,53.0,67.1,36,70
..Borno,61.1,45.9,28.5,48.0,86.0,35.3,63,108
..Cross River,80.0,58.8,68.6,39.0,60.0,83.0,43,77
..Delta,60.5,83.0,68.1,26.0,33.0,84.6,21,46
..Ebonyi,61.7,79.4,57.9,42.0,68.0,65.6,53,83
..Edo,63.0,90.9,58.4,13.0,19.0,87.3,10,29
..Ekiti,68.6,81.7,56.6,27.0,44.0,90.8,23,65
..Enugu,61.9,92.6,51.8,34.0,49.0,80.0,33,66
..FCT Abuja,79.9,81.3,45.6,35.0,60.0,84.6,39,80
..Gombe,39.1,48.5,49.2,81.0,157.0,39.0,124,191
..Imo,84.9,97.0,59.1,62.0,85.0,94.0,64,106
..Jigawa,37.7,21.4,56.9,81.0,161.0,22.3,138,184
..Kaduna,59.4,25.9,35.7,85.0,153.0,48.9,129,177
..Kano,51.3,32.7,35.8,86.0,158.0,46.2,135,182
..Katsina,37.2,15.8,45.3,63.0,105.0,32.6,74,137
..Kebbi,14.0,8.8,9.7,90.0,159.0,10.4,109,208
..Kogi,54.1,62.2,16.8,59.0,78.0,53.0,59,97
..Kwara,51.3,51.5,28.1,12.0,14.0,58.1,4,25
..Lagos,95.4,85.8,66.1,36.0,46.0,91.8,34,59
..Nasarawa,66.0,55.7,42.3,70.0,106.0,56.1,83,128
..Niger,34.7,30.2,28.3,31.0,49.0,21.6,33,66
..Ogun,73.7,83.3,51.4,47.0,60.0,79.0,43,77
..Ondo,66.3,83.2,50.9,8.0,15.0,77.3,6,24
..Osun,92.0,86.7,55.3,49.0,55.0,90.9,33,77
..Oyo,73.8,75.0,31.1,18.0,23.0,79.0,11,34
..Plateau,46.4,45.7,25.3,59.0,98.0,58.0,76,121
..Rivers,76.5,56.9,55.7,39.0,54.0,89.0,37,71
..Sokoto,22.7,12.5,8.4,56.0,109.0,13.4,82,137
..Taraba,50.5,33.0,26.0,64.0,126.0,39.9,83,169
..Yobe,48.5,32.1,37.4,54.0,145.0,24.6,115,175
..Zamfara,21.5,15.3,9.6,60.0,119.0,19.0,71,166
